see you tomorrow	a domani
nice, charming	simpatico
tall<br><br>short	alto<br><br>basso 
nice, beautiful<br><br>ugly	bello<br><br>brutto
big<br><br>little, small	grande<br><br>piccolo
intelligent<br><br>stupid	intelligente<br><br>stupido
timid, shy<br><br>secure, sure	timido<br><br> sicuro
finger ring	anello
so	così
to believe it	crederci
to believe	credere
maybe	forse
to wear	portare
to present, to introduce	presentare
to introduce myself	presentarmi
really	proprio
without doubt, likely	senz’altro
without	senza
sure	sicuro
timid, shy	timido
a bit	un po’
quite	assai
to understand	capire
cute	carino
like	come
well-mannered	educato
to be/fall in love	essere innamorato
annoying	noioso
boy, youth	ragazzo
sincere	sincero
to find	trovare
lively, vivacious	vivace
friendly	amichevole
friend	amico (-a)
happy	felice
optimistic	ottimista
both	tutti e due
to be right	avere ragione
to ask for	chiedere
generous	generoso
to lend	prestare
money	soldi
grandfather<br><br>grandmother	nonno<br><br>nonna
father<br><br>mother	padre<br><br>madre
brother<br><br>sister	fratello<br><br>sorella
mom<br><br>dad	mamma<br><br>papà
uncle<br><br>aunt	zio<br><br>zia
cousin<br><br>cousin	cugino<br><br>cugina
son<br><br>daughter	figlio<br><br>figlia
husband<br><br>wife	marito<br><br>moglie
to look like	assomigliare a
family	famiglia
yesterday	ieri
to think	pensare
architect	architetto
lawyer	avvocato
good (at something)	bravo
advice	consiglio
dentist	dentista (m./f.)
to become	diventare
impossible	impossibile
toothache	mal di denti
medical doctor	medico
or	o
barber	barbiere (m.)
electrician	elettricista (m./f.)
office worker	impiegato (-a)
teacher	insegnante (m./f.)
mechanic	meccanico
rather	piuttosto
practical	pratico
to prefer	preferire (isc)
something	qualcosa
that which, whatever	quello che
school	scuola
according to	secondo
bank	banca
to search for, to look for	cercare
to create	creare
company (business)	ditta
diverse, various, several	diverso
experience	esperienza
ago	fa
computer, informatics	informatica
interview	intervista
degree	laurea
to work	lavorare
work, job	lavoro
ever, never	mai
mathematics	matematica
moment	momento
program	programma (m.)
official	ufficiale
university	università (f.)
downtown, center of town	centro
again	di nuovo
question	domanda
address	indirizzo
number	numero
next	prossimo
which, what	quale
series	serie
week	settimana
marital status	stato civile
bathroom	bagno
bedroom	camera 
kitchen	cucina
exceptional	eccezionale
entrance	entrata
garage 	garage (m.)
magnificent 	magnifico 
however 	però
dining room 	sala da pranzo
living room	salotto
condo	condominio
to be better to	convenire
sofa	divano
refrigerator	frigorifero
already	già
bed	letto
piece of furniture	mobile
armchair	poltrona
to remain	rimanere
many, a lot	tanto
to remainmany	tavolo
to be enough	bastare
kilogram	chilo
to desire, to want	desiderare
dozen	dozzina
bean	fagiolo
strawberry	fragola
fresh	fresco
apple	mela
pear	pera
peach	pesca
pea	pisello
grocery/food store	il negozio di generi alimentari
bakery	il panificio
market	il mercato
supermarket	il supermercato
delicatessen	la pizzicheria (peeh-tseeh-keh-réeh-ah)
slice	fetta
cheese	formaggio
prosciutto ham	prosciutto
salami	salame (m.)
in style, fashionable	alla moda
changing room	camerino
pants	5
jacket	giacca
together	insieme
to wear	portare
to try on	provarsi (provare + si)
size	taglia
orange	arancione (inv.)
blue	azzurro
white	bianco
blue	blu (inv.)
yellow	giallo
gray	grigio
brown	marrone (inv.)
black	nero
red	rosso
green	verde
purple	viola (inv.)
dress	il vestito
skirt	la gonna
blouse	la camicetta
belt	la cintura
sweater	la maglia
shirt	la camicia
tie	la cravatta
suit	l’abito
purse	la borsa
on sale	in saldo
shoe	scarpa
to look good on	stare bene
boot	stivale
account	conto
money	denaro
to deposit	depositare
to sign	firmare
form	modulo
to withdraw	prelevare
to need	avere bisogno di
bill	biglietto
to change, to exchange	cambiare
coin, small change	spicciolo
small	taglio piccolo
happy, content	contento
cold	freddo
winter	inverno
sea	mare (m.)
mountain	montagna
to snow	nevicare
sun	sole (m.)
to be windy	tirare vento
wind	vento
never	non… mai
no more, no longer	non… più
nothing	non… niente
nothing	non… nulla
neither	non… neanche
no one	non… nessuno
neither . . . nor	non… né… né
to feel like	avere voglia di
hot, warm	caldo
cinema, movies	cinema (m., inv.)
strong, hard	forte
to rain	piovere
to go out	uscire (ess.)
to love	amare
love	amore (m.)
autumn, fall	autunno
summer	estate (f.)
plant	pianta
spring	primavera
romantic	romantico
to blossom	sbocciare
to fall	cadere (ess.)
leaf	foglia
instead	invece
snow	neve (f.)
to hate	odiare
to grow	crescere
feast, holiday, party	festa
Christmas	Natale (m.)
of Christmas	natalizio
Easter	Pasqua
weather	tempo
on vacation, off work	in ferie
unfortunately	purtroppo
vacation	vacanza
round-trip	andata e ritorno
ticket agent	bigliettaio (-a)
track	binario
class	classe (f.)
to buy a (travel) ticket	fare il biglietto
to leave, to depart	partire (ess.)
passenger	passeggero (-a)
train	treno
bus	autobus (m., inv.)
newsstand	edicola 
stop	fermata
early	in anticipo 
on time	in orario
minute	minuto
time	tempo
to give	dare
to look onto	dare su
dollar	dollaro
single	singolo
hotel	albergo
to stay calm	calmarsi
breakfast	colazione (f.)
to work (function)	funzionare
almost	quasi
discount	sconto
dirty	sporco
boarding pass	carta d’imbarco
down there	laggiù
Thank goodness!	Meno male!
sign	segnale (m.)
within	tra
gate, exit	uscita
flight	volo
fasten	allacciare
to wish	augurare
seat belt	cintura di sicurezza
captain	comandante (m./f.)
completed	compiuto
takeoff	decollo
crew	equipaggio
to be asked	essere pregato
to be expected	essere previsto
entire	intero
meal	pasto
to serve	servire
trip	viaggio
son<br><br>sons	figlio<br><br>figli
cat<br><br>cats	gatto<br><br>gatti
book<br><br>books	libro<br><br>libri
boy<br><br>boys	ragazzo<br><br>ragazzi
uncle<br><br>uncles	zio<br><br>zii
house<br><br>houses	casa<br><br>case
daughter<br><br>daughters	figlia<br><br>figlie
pen<br><br>pens	penna<br><br>penne
girl<br><br>girls	ragazza<br><br>ragazze
aunt<br><br>aunts	zia<br><br>zie
(the) dog<br><br>(the) dogs	(il) cane<br><br>(i) cani
(the) cell phone<br><br>(the) cell phones	(il) cellulare<br><br>(i) cellulari
(the) father<br><br>(the) fathers	(il) padre<br><br>(i) padri
(the) laptop<br><br>(the) laptops	(il) portatile<br><br>(i) portatili
(the) mother<br><br>(the) mothers	(la) madre<br><br>(le) madri
(the) nation<br><br>(the) nations	(la) nazione<br><br>(le) nazioni
(the) night<br><br>(the) nights	(la) notte<br><br>(le) notti
(the) wall (partition)<br><br> (the) walls (partitions)	(la) parete<br><br>(le) pareti
the (train) station	la stazione<br><br>
the region	la regione<br><br>
the meeting	la riunione<br><br>
year	anno
day	giorno
dress, suit	vestito
house	casa
thing	cosa
necktie	cravatta
woman	donna
skirt	gonna
car	macchina
key	chiave (f.)
surname, family name	cognome (m.)
newspaper	giornale (m.)
name	 nome (m.)
the pig<br><br>the pigs	il porco<br><br>i porci
the fig<br><br>the figs	il fico<br><br>i fichi
the mayor<br><br>the mayors	il sindaco<br><br>i sindaci
the monk<br><br>the monks	il monaco<br><br>i monaci
meat	la carne
rice	il riso
milk	il latte
salt	il sale
bread	il pane
grapes	l’uva
pepper	il pepe
Mr.; Mrs./Ms., Miss	signore signora, signorina
Doctor	dottore dottoressa
Professor	professore professoressa
Lawyer	avvocato avvocato
Draft sperson	geometra geometra
Accountant (Bookkeeper)	ragioniere ragioniera
Architect	architetto architetto
the male musician<br><br>the female musician	il musicista<br><br>la musicista
the male dentist<br><br>the female dentist	il dentista<br><br>la dentista
the male pianist<br><br>the female pianist	il pianista<br><br>la pianista
the male pharmacist<br><br>the female pharmacist	il farmacista<br><br>la farmacista
the male musician<br><br>the male musicians/the musicians (general)	il musicista<br><br>i musicisti
the male dentist<br><br>the male dentists/the dentists (general)	il dentista<br><br>i dentisti
the female musician<br><br>the female musicians	la musicista<br><br>le musiciste
the female dentist<br><br>the female dentists	la dentista<br><br>le dentiste
the male actor<br><br>the female actor	l’attore<br><br>l’attrice
the male painter<br><br>the female painter	il pittore<br><br>la pittrice
the male author<br><br>the female author	l’autore<br><br>l’autrice
the male sculptor<br><br>the female sculptor	lo scultore<br><br>la scultrice
the male doctor<br><br>the female doctor	il dottore<br><br>la dottoressa
the male elephant<br><br>the female elephant	l’elefante<br><br>l’elefantessa
the lion<br><br>the lioness	il leone<br><br>la leonessa
the male professor<br><br>the female professor	il professore<br><br>la professoressa
the male student<br><br>the female student	lo studente<br><br>la studentessa
male or female architect	l’architetto
male or female lawyer	l’avvocato
male or female sculptor	lo scultore
the orange tree<br><br>the orange	l’arancio<br><br>l’arancia
the cherry tree<br><br>the cherry	il ciliegio<br><br>la ciliegia
the apple tree<br><br>the apple	il melo<br><br>la mela
the pear tree<br><br>the pear	il pero<br><br>la pera
the peach tree<br><br>the peach	il pesco<br><br>la pesca
the lemon (tree and fruit)	Il limone
the fig (tree and fruit)	il fico
the mandarin (tree and fruit)	il mandarino
the diagram	il diagramma
the drama	il dramma
the problem	il problema
the program	il programma
the system	il sistema
the theorem	il teorema
the analysis	l’analisi
the crisis	la crisi
the hypothesis	l’ipotesi
the thesis	la tesi
the coffee	il caffè
Monday	il lunedì
the taxi	il tassì
the tea	il tè
the city	la città
youth	la gioventù
the university	 l’università
virtue	la virtù
dad	Il papa
menu	il menu
meat sauce	il ragù
the coffee<br><br> the coffees	il caffè<br><br>i caffè
the city<br><br> the cities	la città<br><br>le città
the taxi<br><br> the taxis	il tassì<br><br>i tassì
the tea<br><br> the teas	il tè<br><br>i tè
the university<br><br> the universities	l’università<br><br>le università
the photograph<br><br>the photo	la fotografia<br><br>la foto
the motorcycle<br><br>the motorcycle	la motocicletta<br><br>la moto
the radio transmission<br><br>the radio	la radiofonia<br><br>la radio
the tea<br><br> the teas	il tè<br><br>i tè
the movie theater<br><br> the movies	il cinematografo<br><br>il cinema
the movie theater<br><br>the movie theaters	il cinema<br><br>i cinema
the photo<br><br>the photos	la foto<br><br>le foto
the motorcycle<br><br>the motorcycles	la moto<br><br>le moto
the radio<br><br>the radios	la radio<br><br>le radio
the bus	l’autobus
the car horn	il clacson
the computer	il computer
the sport	lo sport
tennis	il tennis
the streetcar, trolley	il tram
chatroom	la chat
e-mail, e-mail message	la mail (l’e-mail)
instant message	l’SMS
the car horn<br><br>the car horns	il clacson<br><br>i clacson
the computer<br><br>the computers	il computer<br><br>i computer
the e-mail<br><br>the e-mails	la mail<br><br>le mail
the sports<br><br>the sports	lo sport<br><br>gli sport
arm arms	il braccio<br><br>le braccia
the finger<br><br>the fingers	il dito<br><br>le dita
the knee<br><br>the knees	il ginocchio<br><br>le ginocchia
the lip<br><br>the lips	il labbro<br><br>le labbra
the pair<br><br>the pairs	il paio<br><br>le paia
the ox	il bue
the hand	la mano
the planet	il pianeta
the money order	il vaglia
the ox<br><br>the oxen	il bue<br><br>i buoi
the hand<br><br>the hands	la mano<br><br>le mani
the planet<br><br>the planets	il pianeta<br><br>i pianeti
the money order<br><br>the money orders	il vaglia<br><br>i vaglia
boy<br><br>small boy	ragazzo<br><br>ragazzino
girl<br><br>little girl	ragazza<br><br>ragazzina
rooster<br><br>little rooster	gallo<br><br>galletto
donkey<br><br>small donkey	asino<br><br>asinello
opera, libretto,  bankbook	il libretto
the little book	il libricino
little hand	la manina
handcuff	la manetta
book<br><br>big book	libro<br><br>librone
girl<br><br>big girl	ragazza<br><br>ragazzona
boy<br><br>big boy	ragazzo<br><br>ragazzone
business transaction<br><br>hollow business transaction	affare<br><br>affaraccio
body<br><br>ugly body	corpo<br><br>corpaccio
Sarah<br><br>dear little Sarah	Sara<br><br>Saruccia
rainbow	l’arcobaleno
screwdriver	il cacciavite
capital of a region	il capoluogo
head of a department	il caporeparto
safe (for valuables)	la cassaforte
railroad	la ferrovia
postage stamp	il francobollo
piano	il pianoforte
life jacket	il salvagente
app	app
blog	blog
Facebook	Facebook
file	file
Instagram	Instragram
Internet	Internet
Twitter	Twitter
wiki	wiki
YouTube	YouTube
uploading	caricamento
navigation (of the Web)	navigazione
platform	piattaforma
social netowrk	rete sociale/social network
downloading	scaricaramento
website	sito web
northern	settentrionale
central	centrale
southern	meridionale
eastern	orientale
western	occidentale
Monday	lunedì (m.)
Tuesday	martedì (m.)
Wednesday	mercoledì (m.)
Thursday	giovedì (m.)
Friday	venerdì (m.)
Saturday	sabato (m.)
Sunday	domenica (f.)
biology	la biologia
chemistry	la chimica
physics	la fisica
French	il francese
geography	la geografia
Italian	l’italiano
language	la lingua
math	la matematica
music	la musica
science	la scienza
Spanish	lo spagnolo
history	la storia
last week	la settimana scorsa
next month	il mese prossimo
today	oggi
yesterday	ieri
tomorrow	domani
week	la settimana
month	il mese
year	l’anno
tall<br><br>short	alto<br><br>basso
beautiful<br><br>ugly	bello<br><br>brutto
big<br><br>small	grande<br><br>piccolo
skinny<br><br>fat	magro<br><br>grasso
new<br><br>old	nuovo<br><br>vecchio
rich<br><br>poor	ricco<br><br>povero
orange	arancione (invar.)
dark blue	blu (invar.)
brown	marrone (invar.)
pink	rosa (invar.)
violet, purple	viola (invar.)
blue	azzurro
white	bianco
sky blue	celeste
yellow	giallo
gray	grigio
black	nero
red	rosso
beautiful	bello
ugly	brutto
good	buono
dear; expensive	caro
bad	cattivo
young	giovane
big, large; great	grande
new	nuovo
poor	povero
nice, charming	simpatico
old	vecchio
my	mio
your (fam., sing.)	tuo
his/her, its	suo
your (pol., sing.)	Suo
our	nostro
your (fam., pl.)	vostro
their (invariable)	loro
your (pol., pl., invariable)	Loro
father	il padre
mother	la madre
son	il figlio
daughter	la figlia
brother	il fratello
sister	la sorella
grandfather	il nonno
grandmother	la nonna
uncle	lo zio
aunt	la zia
cousin	il cugino / la cugina
son-in-law	il genero
father-in-law / mother-in-law	il suocero / la suocera
daughter-in-law	la nuora
brother-in-law / sister-in-law	il cognato / la cognata
bathroom	il bagno
drinking glass	il bicchiere
bottle	la bottiglia
bedroom	la camera
knife	il coltello
teaspoon	il cucchiaino
spoon	il cucchiaio
kitchen	la cucina
fork	la forchetta
living room	l salotto
chair	la sedia
room	la stanza
eating table	la tavola
water	l’acqua
meat	la carne
salad	l’insalata
soup	la minestra
barley	l’orzo
pasta	la pasta
fish (as a food)	il pesce
rice	il riso
grapes	l’uva
sugar	lo zucchero
carrot	la carota
string bean	il fagiolino
bean	il fagiolo
potato	la patata
tomato	il pomodoro
enough	abbastanza
quite a lot, enough	assai
certain	certo
much, a lot	molto
each, every	ogni
several, quite a few, a lot	parecchio
little, few	poco
whichever, any	qualsiasi
whichever, any	qualunque
the same	stesso
much, a lot	tanto
too much	troppo
all	tutto
last	ultimo
to be (feel) hot	avere caldo
to be (feel) cold	avere freddo
to be good weather	fare bel tempo
to be (feel) well	stare bene
to be (feel) bad	stare male
to be so-so	 stare così così
to be bad weather	fare brutto tempo
to be awful weather	fare cattivo tempo
enormous	enorme
happy	felice
precise	preciso
rare	raro
regular	regolare
special	speciale
sad	triste
useful	utile
true	vero
then	allora
also, too	anche
again, still, yet	ancora
as a matter of fact	anzi
just, barely	appena
well	bene
again, anew	di nuovo
tomorrow	domani
until now	finora
in a little while	fra/tra poco
already	già
in a hurry	in fretta
together	insieme
instead	invece
far	lontano
bad(ly)	male
in the meantime	nel frattempo
today	oggi
nowadays	oggigiorno
by now	ormai
by chance	per caso
rather	piuttosto
after, then	poi
early	presto
first	prima
unfortunately	purtroppo
almost	quasi
always	sempre
only	solo
often	spesso
this morning	stamani
this evening	stasera
right away	subito
late	tardi
near(by)	vicino
I am hungry.	Io ho fame.
You are thirsty.	Tu hai sete.
He is sleepy.	Lui ha sonno.
She is in a hurry.	Lei ha fretta.
We are warm.	Noi abbiamo caldo.
You are afraid.	Voi avete paura.
They are very lucky.	Loro hanno molta fortuna.
Write it!	Scrivila!
Let’s write it!	Scriviamola!
Write it! (pl.)	Scrivetela!
Wake up!	Svegliati!
Let’s wake up!	Svegliamoci!
Wake up! (pl.)	Svegliatevi!
Read it!	Leggilo!
Let’s read it!	Leggiamolo!
Read it! (pl.)	Leggetelo!
Write it!	La scriva!
Write it!	La scrivano!
Wake up!	Si svegli!
Wake up!	Si sveglino!
Read it!	Lo legga!
Read it!	Lo leggano!
Don’t write it!	Non la scriva!
Don’t wake up!	Non si svegli!
to get used to	abituarsi
to fall asleep	addormentarsi
to get up	alzarsi
to get bored	annoiarsi
to be called, be named	chiamarsi
to have fun	divertirsi
to wonder	domandarsi
to shave	farsi la barba
to stop (oneself)	fermarsi
to turn around	girarsi
to look at oneself	guardarsi
to complain	lamentarsi
to wash (oneself)	lavarsi
to be amazed	meravigliarsi
to put on, wear	mettersi
to begin to	mettersi a
to get ready	prepararsi
to introduce oneself	presentarsi
to remember	ricordarsi
to rest	riposarsi
to sit down	sedersi
to feel	sentirsi
to embrace one another (each other)	abbracciarsi
to love one another (each other)	amarsi
to kiss one another (each other)	baciarsi
to know one another (each other)	conoscersi
to meet one another (each other)	incontrarsi
to fall in love with each other	innamorarsi
to respect one another (each other)	rispettarsi
to see each other again	rivedersi
to greet one another (each other)	salutarsi
to get married to each other	sposarsi
to see one another (each other)	vedersi
to visit one another (each other)	visitarsi
to fall asleep | to put to sleep	addormentarsi | addormentare
to get up | to lift	alzarsi | alzare
to be called | to call	chiamarsi | chiamare
to take a bath | to give a bath	farsi il bagno | fare il bagno
to get washed | to wash	lavarsi | lavare
to comb one’s hair | to comb somebody’s hair	pettinarsi | pettinare
to get cleaned | to clean up	pulirsi | pulire
to feel | to hear, listen	sentirsi | sentire
to wake up | to wake up someone	svegliarsi | svegliare
to get dressed | to dress someone	vestirsi | vestire
to go	andare | andrò, andrai, andrà, ecc.
to have	avere | avrò, avrai, avrà, ecc.
to drink	bere | berrò, berrai, berrà, ecc.
to fall	Cadere | cadrò, cadrai, cadrà, ecc.
to give	dare | darò, darai, darà, ecc.
to have to	dovere | dovrò, dovrai, dovrà, ecc.
to be	essere | sarò, sarai, sarà, ecc.
to do, make	fare | farò, farai, farà, ecc.
to put	porre | porrò, porrai, porrà, ecc.
to be able to	potere | potrò, potrai, potrà, ecc.
to remain	rimanere | rimarrò, rimarrai, rimarrà, ecc.
to know	sapere | saprò, saprai, saprà, ecc.
to keep	tenere | terrò, terrai, terrà, ecc.
to see	vedere | vedrò, vedrai, vedrà, ecc.
to come	venire | verrò, verrai, verrà, ecc.
to live	vivere | vivrò, vivrai, vivrà, ecc.
to turn on	accendere | acceso
to add	aggiungere | aggiunto
to hang	appendere | appeso
to hire	assumere | assunto
to drink	bere | bevuto
to ask	chiedere | chiesto
to close	chiudere | chiuso
to understand	comprendere | compreso
to confuse	confondere | confuse
to know	conoscere | conosciuto
to convince	convincere | convinto
to correct	correggere | corretto
to run	correre | corso
to cook	cuocere | cotto
to decide	decidere | deciso
to discuss	discutere | discusso
to divide	dividere | diviso
to elect	eleggere | eletto
to read	leggere | letto
to put	mettere | messo
to hide	nascondere | nascosto
to lose	perdere | perso
to cry	piangere | pianto
to take, get	prendere | preso
to promise	promettere | promesso
to laugh	ridere | riso
to answer	rispondere | risposto
to write	scrivere | scritto
to turn off	spegnere | spento
to see	vedere | visto
to win	vincere | vinto
to live	vivere | vissuto
to go	andare | andato
to appear	apparire | apparso
to arrive	arrivare | arrivato
to fall	cadere | caduto
to become	diventare | diventato
to enter	entrare | entrato
to be	essere | stato
to die	morire | morto
to be born	nascere | nato
to depart, leave	partire | partito
to remain	restare | restato
to stay, remain	rimanere | rimasto
to return	ritornare | ritornato
to go up	salire | salito
to go down	scendere | sceso
to stay	stare | stato
to return, come back	tornare | tornato
to go out	uscire | uscito
to come	venire | venuto
to live	vivere | vissuto
comfortable	comodo
once	una volta
spend	trascorrere
summer	estate
trip	viaggio
world	mondo
continuously	continuamente
constantly	costantemente
frequently	di frequente
usually	di solito
from time to time	di tanto in tanto
on Sundays (on Mondays, etc.)	la domenica (il lunedi, ecc.)
while	mentre
every day	ogni giorno
each day, each night	ogni giorno, ogni notte
once in a while	ogni tanto
sometime	qualche volta
when	quando
always	sempre
often	spesso
every day	tutti i giorni
afterwards	dopodichè
to get up	alzarsi
newspaper	giornale
pool	piscina
postcards	cartoline
shining	splendeva
shower	doccia
unforgettable	indimenticabile
appointment/date	appuntamento
mood	umore
soccer	calcio
spring	primaverile
thunder	tuonare
weather	tempo
yesterday	ieri
yesterday afternoon	ieri pomeriggio
last night	ieri sera
the other day	l’altro giorno
last week	la settimana scorsa
last month, year	il mese/l’anno scorso
last summer, winter	l’estate/l’inverno scorso
a little while ago	poco fa
for a long time	per molto tempo
all of a sudden	all’improvviso
to ask	chiedere<br><br><strong>chiesi</strong>, chiedesti, <strong>chiese</strong>, chiedemmo, chiedeste, <strong>chiesero</strong>
to gather	cogliere<br><br><strong>colsi</strong>, cogliesti, <strong>colse</strong>, cogliemmo, coglieste, <strong>colsero</strong>
to conclude	concludere<br><br><strong>conclusi</strong>, concludesti, <strong>concluse</strong>, concludemmo, concludeste, <strong>conclusero</strong>
to decide	decidere<br><br><strong>decisi</strong>, decidesti, <strong>decise</strong>, decidemmo, decideste, <strong>decisero</strong>
to divide	dividere<br><br><strong>divisi</strong>, dividesti, <strong>divise</strong>, dividemmo, divideste, <strong>divisero</strong>
to put	mettere<br><br><strong>misi</strong>, mettesti, <strong>mise</strong>, mettemmo, metteste, <strong>misero</strong>
to take	prendere<br><br><strong>presi</strong>, prendesti, <strong>prese</strong>, prendemmo, prendeste, <strong>presero</strong>
to laugh	ridere<br><br><strong>risi</strong>, ridesti, <strong>rise</strong>, ridemmo, rideste, <strong>risero</strong>
to stay	rimanere<br><br><strong>rimasi</strong>, rimanesti, <strong>rimase</strong>, rimanemmo, rimaneste, <strong>rimasero
to descend	scendere<br><br><strong>scesi</strong>, scendesti, <strong>scese</strong>, scendemmo, scendeste, <strong>scesero</strong>
to turn off	spegnere<br><br><strong>spensi</strong>, spegnesti, <strong>spense</strong>, spegnemmo, spegneste, <strong>spensero</strong>
to spend	spendere<br><br><strong>spesi</strong>, spendesti, <strong>spese</strong>, spendemmo, spendeste, <strong>spesero</strong>
to win	vincere<br><br><strong>vinsi</strong>, vincesti, <strong>vinse</strong>, vincemmo, vinceste, <strong>vinsero</strong>
to discuss	discutere<br><br><strong>discussi</strong>, discutesti, <strong>discusse</strong>, discutemmo, discuteste, <strong>discussero</strong>
to read	leggere<br><br><strong>lessi</strong>, leggesti, <strong>lesse</strong>, leggemmo, leggeste, <strong>lessero
to write	scrivere<br><br><strong>scrissi</strong>, scrivesti, <strong>scrisse</strong>, scrivemmo, scriveste, <strong>scrissero</strong>
to live	vivere<br><br><strong>vissi</strong>, vincesti, <strong>visse</strong>, vincemmo, vinceste, <strong>vissero</strong>
to fall	cadere<br><br><strong>caddi</strong>, cadesti, <strong>cadde</strong>, cademmo, cadeste, <strong>caddero</strong>
